id,key,value
CAP-5.8,registry.parent,CAP-5
CAP-5.8,registry.coverage,verification-table
CAP-5.9,uafId,CAP-5.9
CAP-5.9,uafKind,Capability
CAP-5.9,registry.parent,CAP-5
CAP-5.10,uafId,CAP-5.10
CAP-5.10,uafKind,Capability
CAP-5.10,registry.parent,CAP-5
CAP-5.10,registry.coverage,verification-table
CAP-6,uafId,CAP-6
CAP-6,uafKind,Capability
CAP-6,registry.kind,area
CAP-6,registry.owner,plan-04
CAP-6.1,uafId,CAP-6.1
CAP-6.1,uafKind,Capability
CAP-6.1,registry.parent,CAP-6
CAP-6.1,registry.coverage,verification-table
CAP-6.2,uafId,CAP-6.2
CAP-6.2,uafKind,Capability
CAP-6.2,registry.parent,CAP-6
CAP-6.3,uafId,CAP-6.3
CAP-6.3,uafKind,Capability
CAP-6.3,registry.parent,CAP-6
CAP-6.4,uafId,CAP-6.4
CAP-6.4,uafKind,Capability
CAP-6.4,registry.parent,CAP-6
CAP-6.5,uafId,CAP-6.5
CAP-6.5,uafKind,Capability
CAP-6.5,registry.parent,CAP-6
CAP-6.6,uafId,CAP-6.6
CAP-6.6,uafKind,Capability
CAP-6.6,registry.parent,CAP-6
CAP-6.7,uafId,CAP-6.7
CAP-6.7,uafKind,Capability
CAP-6.7,registry.parent,CAP-6
CAP-6.7,registry.coverage,GAP-044
CAP-7,uafId,CAP-7
CAP-7,uafKind,Capability
CAP-7,registry.kind,area
CAP-7,registry.owner,plan-04
CAP-7.1,uafId,CAP-7.1
CAP-7.1,uafKind,Capability
CAP-7.1,registry.parent,CAP-7
CAP-7.2,uafId,CAP-7.2
CAP-7.2,uafKind,Capability
CAP-7.2,registry.parent,CAP-7
CAP-7.3,uafId,CAP-7.3
CAP-7.3,uafKind,Capability
CAP-7.3,registry.parent,CAP-7
CAP-7.3,registry.coverage,REQ-C-06 REQ-C-07
CAP-7.4,uafId,CAP-7.4
CAP-7.4,uafKind,Capability
CAP-7.4,registry.parent,CAP-7
CAP-7.4,registry.coverage,verification-table
OP-01,uafId,OP-01
OP-01,uafKind,OperationalPerformer
OP-01,registry.kind,role
OP-01,registry.owner,plan-02
OP-02,uafId,OP-02
OP-02,uafKind,OperationalPerformer
OP-02,registry.kind,role
OP-02,registry.owner,plan-02
OP-03,uafId,OP-03
OP-03,uafKind,OperationalPerformer
OP-03,registry.kind,role
OP-03,registry.owner,plan-02
OP-04,uafId,OP-04
OP-04,uafKind,OperationalPerformer
OP-04,registry.kind,role
OP-04,registry.owner,plan-02
OP-05,uafId,OP-05
OP-05,uafKind,OperationalPerformer
OP-05,registry.kind,role
OP-05,registry.owner,plan-02
OP-06,uafId,OP-06
OP-06,uafKind,OperationalPerformer
OP-06,registry.kind,role
OP-06,registry.owner,plan-02
OP-06,registry.status,adopted 2026-09-04 (D-05)
OP-07,uafId,OP-07
OP-07,uafKind,OperationalPerformer
OP-07,registry.kind,role
OP-07,registry.owner,plan-02
OP-07,registry.status,adopted 2026-09-04 (D-05)
OP-08,uafId,OP-08
OP-08,uafKind,OperationalPerformer
OP-08,registry.kind,role
OP-08,registry.owner,plan-02
OP-08,registry.status,adopted 2026-09-04 (D-05)
OP-10,uafId,OP-10
OP-10,uafKind,OperationalPerformer
OP-10,registry.kind,organization
OP-10,registry.owner,plan-02
OP-11,uafId,OP-11
OP-11,uafKind,OperationalPerformer
OP-11,registry.kind,organization
OP-11,registry.owner,plan-02
OP-12,uafId,OP-12
OP-12,uafKind,OperationalPerformer
OP-12,registry.kind,organization
OP-12,registry.owner,plan-02
OP-20,uafId,OP-20
OP-20,uafKind,OperationalPerformer
OP-20,registry.kind,external
OP-20,registry.owner,plan-02
OP-21,uafId,OP-21
OP-21,uafKind,OperationalPerformer
OP-21,registry.kind,external
OP-21,registry.owner,plan-02
OP-22,uafId,OP-22
OP-22,uafKind,OperationalPerformer
OP-22,registry.kind,external
OP-22,registry.owner,plan-02
OP-23,uafId,OP-23
OP-23,uafKind,OperationalPerformer
OP-23,registry.kind,external
OP-23,registry.owner,plan-02
OP-24,uafId,OP-24
OP-24,uafKind,OperationalPerformer
OP-24,registry.kind,external
OP-24,registry.owner,plan-02
OP-25,uafId,OP-25
OP-25,uafKind,OperationalPerformer
OP-25,registry.kind,external
OP-25,registry.owner,plan-02
OP-26,uafId,OP-26
OP-26,uafKind,OperationalPerformer
OP-26,registry.kind,external
OP-26,registry.owner,plan-02
OP-27,uafId,OP-27
OP-27,uafKind,OperationalPerformer
OP-27,registry.kind,external
OP-27,registry.owner,plan-02
OP-30,uafId,OP-30
OP-30,uafKind,OperationalPerformer
OP-30,registry.kind,system
OP-30,registry.owner,plan-03
OP-31,uafId,OP-31
OP-31,uafKind,OperationalPerformer
OP-31,registry.kind,system-part
OP-31,registry.parent,OP-30
OP-31,registry.owner,plan-03
OP-32,uafId,OP-32
OP-32,uafKind,OperationalPerformer
OP-32,registry.kind,system-part
OP-32,registry.parent,OP-30
OP-32,registry.owner,plan-03
OP-33,uafId,OP-33
OP-33,uafKind,OperationalPerformer
OP-33,registry.kind,system-part
OP-33,registry.parent,OP-30
OP-33,registry.owner,plan-03
OP-34,uafId,OP-34
OP-34,uafKind,OperationalPerformer
OP-34,registry.kind,system-part
OP-34,registry.parent,OP-30
OP-34,registry.owner,plan-03
OA-01,uafId,OA-01
OA-01,uafKind,OperationalActivity
OA-02,uafId,OA-02
OA-02,uafKind,OperationalActivity
OA-03,uafId,OA-03
OA-03,uafKind,OperationalActivity
OA-04,uafId,OA-04
OA-04,uafKind,OperationalActivity
OA-05,uafId,OA-05
OA-05,uafKind,OperationalActivity
OA-06,uafId,OA-06
OA-06,uafKind,OperationalActivity
OA-07,uafId,OA-07
OA-07,uafKind,OperationalActivity
OA-08,uafId,OA-08
OA-08,uafKind,OperationalActivity
OA-09,uafId,OA-09
OA-09,uafKind,OperationalActivity
OA-10,uafId,OA-10
OA-10,uafKind,OperationalActivity
OA-11,uafId,OA-11
OA-11,uafKind,OperationalActivity
OA-12,uafId,OA-12
OA-12,uafKind,OperationalActivity
OA-13,uafId,OA-13
OA-13,uafKind,OperationalActivity
OA-14,uafId,OA-14
OA-14,uafKind,OperationalActivity
OA-15,uafId,OA-15
OA-15,uafKind,OperationalActivity
OA-16,uafId,OA-16
OA-16,uafKind,OperationalActivity
OA-17,uafId,OA-17
OA-17,uafKind,OperationalActivity
OA-18,uafId,OA-18
OA-18,uafKind,OperationalActivity
OA-19,uafId,OA-19
OA-19,uafKind,OperationalActivity
OA-20,uafId,OA-20
OA-20,uafKind,OperationalActivity
OA-21,uafId,OA-21
OA-21,uafKind,OperationalActivity
OA-22,uafId,OA-22
OA-22,uafKind,OperationalActivity
OA-23,uafId,OA-23
OA-23,uafKind,OperationalActivity
OA-24,uafId,OA-24
OA-24,uafKind,OperationalActivity
OA-25,uafId,OA-25
OA-25,uafKind,OperationalActivity
OA-26,uafId,OA-26
OA-26,uafKind,OperationalActivity
OA-27,uafId,OA-27
OA-27,uafKind,OperationalActivity
OA-28,uafId,OA-28
OA-28,uafKind,OperationalActivity
OA-29,uafId,OA-29
OA-29,uafKind,OperationalActivity
OA-30,uafId,OA-30
OA-30,uafKind,OperationalActivity
OA-31,uafId,OA-31
OA-31,uafKind,OperationalActivity
