rel_id,kind,stereotype,from_id,to_id,name,ea_type
REL:exhibits:OP-30->CAP-5.10,exhibits,Exhibits,OP-30,CAP-5.10,exhibits: OP-30 -> CAP-5.10,Abstraction
REL:exhibits:OP-30->CAP-6.1,exhibits,Exhibits,OP-30,CAP-6.1,exhibits: OP-30 -> CAP-6.1,Abstraction
REL:exhibits:OP-30->CAP-6.2,exhibits,Exhibits,OP-30,CAP-6.2,exhibits: OP-30 -> CAP-6.2,Abstraction
REL:exhibits:OP-30->CAP-6.3,exhibits,Exhibits,OP-30,CAP-6.3,exhibits: OP-30 -> CAP-6.3,Abstraction
REL:exhibits:OP-30->CAP-6.4,exhibits,Exhibits,OP-30,CAP-6.4,exhibits: OP-30 -> CAP-6.4,Abstraction
REL:exhibits:OP-30->CAP-6.5,exhibits,Exhibits,OP-30,CAP-6.5,exhibits: OP-30 -> CAP-6.5,Abstraction
REL:exhibits:OP-30->CAP-6.6,exhibits,Exhibits,OP-30,CAP-6.6,exhibits: OP-30 -> CAP-6.6,Abstraction
REL:exhibits:OP-30->CAP-6.7,exhibits,Exhibits,OP-30,CAP-6.7,exhibits: OP-30 -> CAP-6.7,Abstraction
REL:exhibits:OP-30->CAP-7.1,exhibits,Exhibits,OP-30,CAP-7.1,exhibits: OP-30 -> CAP-7.1,Abstraction
REL:exhibits:OP-30->CAP-7.2,exhibits,Exhibits,OP-30,CAP-7.2,exhibits: OP-30 -> CAP-7.2,Abstraction
REL:exhibits:OP-30->CAP-7.3,exhibits,Exhibits,OP-30,CAP-7.3,exhibits: OP-30 -> CAP-7.3,Abstraction
REL:exhibits:OP-30->CAP-7.4,exhibits,Exhibits,OP-30,CAP-7.4,exhibits: OP-30 -> CAP-7.4,Abstraction
REL:exhibits:OP-01->CAP-2.6,exhibits,Exhibits,OP-01,CAP-2.6,exhibits: OP-01 -> CAP-2.6,Abstraction
REL:exhibits:OP-01->CAP-3.6,exhibits,Exhibits,OP-01,CAP-3.6,exhibits: OP-01 -> CAP-3.6,Abstraction
REL:exhibits:OP-01->CAP-4.1,exhibits,Exhibits,OP-01,CAP-4.1,exhibits: OP-01 -> CAP-4.1,Abstraction
REL:exhibits:OP-01->CAP-4.2,exhibits,Exhibits,OP-01,CAP-4.2,exhibits: OP-01 -> CAP-4.2,Abstraction
REL:exhibits:OP-01->CAP-5.9,exhibits,Exhibits,OP-01,CAP-5.9,exhibits: OP-01 -> CAP-5.9,Abstraction
REL:exhibits:OP-02->CAP-3.6,exhibits,Exhibits,OP-02,CAP-3.6,exhibits: OP-02 -> CAP-3.6,Abstraction
REL:exhibits:OP-02->CAP-3.7,exhibits,Exhibits,OP-02,CAP-3.7,exhibits: OP-02 -> CAP-3.7,Abstraction
REL:exhibits:OP-02->CAP-4.2,exhibits,Exhibits,OP-02,CAP-4.2,exhibits: OP-02 -> CAP-4.2,Abstraction
REL:exhibits:OP-02->CAP-5.4,exhibits,Exhibits,OP-02,CAP-5.4,exhibits: OP-02 -> CAP-5.4,Abstraction
REL:exhibits:OP-02->CAP-5.5,exhibits,Exhibits,OP-02,CAP-5.5,exhibits: OP-02 -> CAP-5.5,Abstraction
REL:exhibits:OP-02->CAP-5.6,exhibits,Exhibits,OP-02,CAP-5.6,exhibits: OP-02 -> CAP-5.6,Abstraction
REL:exhibits:OP-02->CAP-5.9,exhibits,Exhibits,OP-02,CAP-5.9,exhibits: OP-02 -> CAP-5.9,Abstraction
REL:exhibits:OP-03->CAP-5.2,exhibits,Exhibits,OP-03,CAP-5.2,exhibits: OP-03 -> CAP-5.2,Abstraction
REL:exhibits:OP-03->CAP-5.3,exhibits,Exhibits,OP-03,CAP-5.3,exhibits: OP-03 -> CAP-5.3,Abstraction
REL:exhibits:OP-03->CAP-5.7,exhibits,Exhibits,OP-03,CAP-5.7,exhibits: OP-03 -> CAP-5.7,Abstraction
REL:exhibits:OP-03->CAP-5.9,exhibits,Exhibits,OP-03,CAP-5.9,exhibits: OP-03 -> CAP-5.9,Abstraction
REL:exhibits:OP-04->CAP-1.3,exhibits,Exhibits,OP-04,CAP-1.3,exhibits: OP-04 -> CAP-1.3,Abstraction
REL:exhibits:OP-04->CAP-1.4,exhibits,Exhibits,OP-04,CAP-1.4,exhibits: OP-04 -> CAP-1.4,Abstraction
REL:exhibits:OP-04->CAP-3.9,exhibits,Exhibits,OP-04,CAP-3.9,exhibits: OP-04 -> CAP-3.9,Abstraction
REL:exhibits:OP-04->CAP-5.9,exhibits,Exhibits,OP-04,CAP-5.9,exhibits: OP-04 -> CAP-5.9,Abstraction
REL:exhibits:OP-05->CAP-5.6,exhibits,Exhibits,OP-05,CAP-5.6,exhibits: OP-05 -> CAP-5.6,Abstraction
REL:exhibits:OP-05->CAP-6.1,exhibits,Exhibits,OP-05,CAP-6.1,exhibits: OP-05 -> CAP-6.1,Abstraction
REL:exhibits:OP-05->CAP-6.2,exhibits,Exhibits,OP-05,CAP-6.2,exhibits: OP-05 -> CAP-6.2,Abstraction
REL:exhibits:OP-05->CAP-6.3,exhibits,Exhibits,OP-05,CAP-6.3,exhibits: OP-05 -> CAP-6.3,Abstraction
REL:exhibits:OP-05->CAP-6.5,exhibits,Exhibits,OP-05,CAP-6.5,exhibits: OP-05 -> CAP-6.5,Abstraction
REL:exhibits:OP-05->CAP-7.3,exhibits,Exhibits,OP-05,CAP-7.3,exhibits: OP-05 -> CAP-7.3,Abstraction
REL:exhibits:OP-06->CAP-1.3,exhibits,Exhibits,OP-06,CAP-1.3,exhibits: OP-06 -> CAP-1.3,Abstraction
REL:exhibits:OP-06->CAP-2.6,exhibits,Exhibits,OP-06,CAP-2.6,exhibits: OP-06 -> CAP-2.6,Abstraction
REL:exhibits:OP-06->CAP-2.7,exhibits,Exhibits,OP-06,CAP-2.7,exhibits: OP-06 -> CAP-2.7,Abstraction
REL:exhibits:OP-06->CAP-2.12,exhibits,Exhibits,OP-06,CAP-2.12,exhibits: OP-06 -> CAP-2.12,Abstraction
REL:exhibits:OP-06->CAP-6.6,exhibits,Exhibits,OP-06,CAP-6.6,exhibits: OP-06 -> CAP-6.6,Abstraction
REL:exhibits:OP-06->CAP-7.4,exhibits,Exhibits,OP-06,CAP-7.4,exhibits: OP-06 -> CAP-7.4,Abstraction
REL:exhibits:OP-06->CAP-5.9,exhibits,Exhibits,OP-06,CAP-5.9,exhibits: OP-06 -> CAP-5.9,Abstraction
REL:exhibits:OP-07->CAP-1.4,exhibits,Exhibits,OP-07,CAP-1.4,exhibits: OP-07 -> CAP-1.4,Abstraction
REL:exhibits:OP-07->CAP-3.1,exhibits,Exhibits,OP-07,CAP-3.1,exhibits: OP-07 -> CAP-3.1,Abstraction
REL:exhibits:OP-07->CAP-5.2,exhibits,Exhibits,OP-07,CAP-5.2,exhibits: OP-07 -> CAP-5.2,Abstraction
REL:exhibits:OP-07->CAP-5.6,exhibits,Exhibits,OP-07,CAP-5.6,exhibits: OP-07 -> CAP-5.6,Abstraction
REL:exhibits:OP-07->CAP-5.9,exhibits,Exhibits,OP-07,CAP-5.9,exhibits: OP-07 -> CAP-5.9,Abstraction
REL:exhibits:OP-08->CAP-3.1,exhibits,Exhibits,OP-08,CAP-3.1,exhibits: OP-08 -> CAP-3.1,Abstraction
REL:exhibits:OP-08->CAP-3.6,exhibits,Exhibits,OP-08,CAP-3.6,exhibits: OP-08 -> CAP-3.6,Abstraction
REL:exhibits:OP-08->CAP-4.2,exhibits,Exhibits,OP-08,CAP-4.2,exhibits: OP-08 -> CAP-4.2,Abstraction
REL:exhibits:OP-08->CAP-5.6,exhibits,Exhibits,OP-08,CAP-5.6,exhibits: OP-08 -> CAP-5.6,Abstraction
REL:exhibits:OP-08->CAP-5.9,exhibits,Exhibits,OP-08,CAP-5.9,exhibits: OP-08 -> CAP-5.9,Abstraction
REL:exhibits:OP-31->CAP-2.10,exhibits,Exhibits,OP-31,CAP-2.10,exhibits: OP-31 -> CAP-2.10,Abstraction
REL:exhibits:OP-31->CAP-2.11,exhibits,Exhibits,OP-31,CAP-2.11,exhibits: OP-31 -> CAP-2.11,Abstraction
REL:exhibits:OP-31->CAP-4.1,exhibits,Exhibits,OP-31,CAP-4.1,exhibits: OP-31 -> CAP-4.1,Abstraction
REL:exhibits:OP-31->CAP-5.4,exhibits,Exhibits,OP-31,CAP-5.4,exhibits: OP-31 -> CAP-5.4,Abstraction
